Acci�n;Date;Usuaio
"Se guardo la ruta R011";"10/08/2019 13:16:02";zamo
"Se guardo la ruta R012";"12/08/2019 13:05:56";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:08:59";
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:09:34";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:15:19";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:24:32";zamo
"Se guardo la ruta Sin Ruta";"12/08/2019 13:26:57";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:27:01";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:27:44";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:37:18";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:41:07";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:42:30";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:45:01";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:47:04";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:50:44";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:51:37";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:52:48";zamo
"Se guardo al conductor Cesar Samuel Rodriguez Hernandez";"12/08/2019 13:53:11";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:56:19";zamo
"Se guardo al conductor Cesar Samuel Rodriguez Hernandez";"2019/08/12 13:56:39";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:57:51";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:58:07";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:58:18";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 13:59:33";zamo
"Se guardo al conductor Cesar Samuel Rodriguez Hernandez";"2019/08/12 13:59:58";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 14:40:14";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 16:53:02";zamo
"No se logro guardar al conductor  Cesar Samuel Rodriguez Hernandez por algun problema";"2019/08/12 16:53:30";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 16:59:09";zamo
"No se logro guardar al conductor  Samuel por algun problema";"2019/08/12 16:59:22";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 17:01:54";zamo
"No se logro guardar al conductor  asdas por algun problema";"2019/08/12 17:02:03";zamo
"No se logro guardar al conductor  asdas por algun problema";"2019/08/12 17:05:12";zamo
"No se logro guardar al conductor  asdas por algun problema";"2019/08/12 17:21:25";zamo
"Se guardo al conductor asdas y se asigno la ruta asdas";"2019/08/12 17:22:24";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 17:27:38";zamo
"Se guardo al conductor Cesar Samuel y se asigno la ruta 2";"2019/08/12 17:27:56";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 17:29:30";zamo
"Se abrio el formulario de Add_Unidad ";"12/08/2019 17:41:41";zamo
"Se abrio el formulario de Add_Unidad ";"12/08/2019 17:42:19";zamo
"Se abrio el formulario de Add_Unidad ";"12/08/2019 17:42:22";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 17:42:26";zamo
"Se abrio el formulario de Add_Unidad ";"12/08/2019 17:48:36";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 17:48:42";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 17:49:50";zamo
"Se guardo al conductor Cesar Samuel Rodriguez Hernandez y se asigno la ruta 1";"2019/08/12 17:50:17";zamo
"Se abrio el formulario de Add_conductor ";"12/08/2019 17:51:19";zamo
"Se guardo al conductor Angelica Moreno y se asigno la ruta 1";"2019/08/12 17:51:30";zamo
